粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻,每米宽度流量
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.588,1,0.984,2.069,8.845,6.155,63.901,1.23,0.979,1.747,0,8.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2263,133.1,1.597,1.597,148.57,8.45,-277,-16.3,3.007,3.007,519.17,158.82,2540,149.4,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.629,7.635,3.988,106.162,1.416,0.996,2.309,15,7.365,79.828,1.884,0.984,2.309,15,15,78.57,1,0.984,1.992,6.845,8.155,60.236,1.304,0.973,1.748,0,6.845,50,1.571,0.968,1.884,1.884,370.6,150.37,2209,130,1.597,1.597,139.77,6.11,-224,-13.2,3.007,3.007,510.37,156.48,2434,143.2,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.619,1,0.986,2.071,8.845,6.155,63.916,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,370.6,150.37,2261,133,1.595,1.595,148.72,8.46,-277,-16.3,3.007,3.007,519.33,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.537,9.635,5.988,97.905,1.536,0.99,2.311,15,5.365,79.769,1.885,0.986,2.311,15,15,78.6,1,0.986,1.993,6.845,8.155,60.247,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,370.6,150.37,2207,129.8,1.595,1.595,139.91,6.12,-225,-13.2,3.007,3.007,510.51,156.49,2432,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.537,9.635,3.988,97.919,1.536,0.99,2.311,15,5.365,79.779,1.885,0.986,2.311,15,15,78.623,1,0.986,2.071,8.845,6.155,63.918,1.23,0.981,1.749,0,8.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2261,133,1.596,1.596,148.74,8.46,-277,-16.3,3.007,3.007,492.12,158.83,2538,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.537,9.635,3.988,97.919,1.536,0.99,2.311,15,5.365,79.779,1.885,0.986,2.311,15,15,78.604,1,0.986,1.994,6.845,8.155,60.248,1.305,0.975,1.749,0,6.845,50,1.572,0.97,1.885,1.885,343.38,150.37,2207,129.8,1.596,1.596,139.93,6.12,-225,-13.2,3.007,3.007,483.31,156.49,2431,143,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.449,11.635,5.988,90.598,1.66,0.986,2.31,15,3.365,79.843,1.883,0.985,2.31,15,15,78.606,1,0.985,2.07,8.845,6.155,63.91,1.23,0.979,1.748,0,8.845,50,1.572,0.968,1.883,1.883,343.38,150.37,2262,133.1,1.597,1.597,148.66,8.45,-277,-16.3,3.007,3.007,492.04,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.718,5.647,5.647,115.856,1.298,0.992,2.449,11.635,5.988,90.598,1.66,0.986,2.31,15,3.365,79.843,1.883,0.985,2.31,15,15,78.587,1,0.985,1.993,6.845,8.155,60.242,1.305,0.973,1.749,0,6.845,50,1.572,0.968,1.883,1.883,343.38,150.37,2208,129.9,1.597,1.597,139.85,6.11,-224,-13.2,3.007,3.007,483.23,156.49,2432,143.1,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.508,10.278,6.631,95.496,1.575,0.988,2.31,15,4.722,79.817,1.884,0.985,2.31,15,15,78.606,1,0.985,2.07,8.845,6.155,63.91,1.23,0.98,1.748,0,8.845,50,1.572,0.968,1.884,1.884,370.6,150.37,2262,133.1,1.596,1.596,148.66,8.45,-277,-16.3,3.007,3.007,519.26,158.83,2539,149.3,17
0,0,1,3,0,0,150.374,1,1,2.816,3.647,3.647,126.496,1.189,0.998,2.508,10.278,6.631,95.496,1.575,0.988,2.31,15,4.722,79.817,1.884,0.985,2.31,15,15,78.587,1,0.985,1.993,6.845,8.155,60.242,1.305,0.974,1.749,0,6.845,50,1.572,0.969,1.884,1.884,370.6,150.37,2208,129.9,1.596,1.596,139.85,6.11,-224,-13.2,3.007,3.007,510.45,156.49,2432,143.1,17
