粘性,钝度,二维,外-激波后第0激波后马赫数,外-激波后第0激波后方向角,外-激波后第0激波后压缩角,外-激波后第0激波后流道高H,外-激波后第0激波后收缩比,外-激波后第0激波后sigma,外-激波后第1激波后马赫数,外-激波后第1激波后方向角,外-激波后第1激波后压缩角,外-激波后第1激波后流道高H,外-激波后第1激波后收缩比,外-激波后第1激波后sigma,外-激波后第2激波后马赫数,外-激波后第2激波后方向角,外-激波后第2激波后压缩角,外-激波后第2激波后流道高H,外-激波后第2激波后收缩比,外-激波后第2激波后sigma,外-激波后第3激波后马赫数,外-激波后第3激波后方向角,外-激波后第3激波后压缩角,外-激波后第3激波后流道高H,外-激波后第3激波后收缩比,外-激波后第3激波后sigma,内-激波后第0激波后马赫数,内-激波后第0激波后方向角,内-激波后第0激波后压缩角,内-激波后第0激波后流道高H,内-激波后第0激波后收缩比,内-激波后第0激波后sigma,内-激波后第1激波后马赫数,内-激波后第1激波后方向角,内-激波后第1激波后压缩角,内-激波后第1激波后流道高H,内-激波后第1激波后收缩比,内-激波后第1激波后sigma,内-激波后第2激波后马赫数,内-激波后第2激波后方向角,内-激波后第2激波后压缩角,内-激波后第2激波后流道高H,内-激波后第2激波后收缩比,内-激波后第2激波后sigma,压缩位置外压缩段风轴Cr,压缩位置外压缩段体轴Cr,压缩位置外压缩段长度,压缩位置外压缩段高度,压缩位置外压缩段阻力,压缩位置外压缩段比阻,压缩位置内压缩段风轴Cr,压缩位置内压缩段体轴Cr,压缩位置内压缩段长度,压缩位置内压缩段高度,压缩位置内压缩段阻力,压缩位置内压缩段比阻,压缩位置总_压_缩风轴Cr,压缩位置总_压_缩体轴Cr,压缩位置总_压_缩长度,压缩位置总_压_缩高度,压缩位置总_压_缩阻力,压缩位置总_压_缩比阻2,每米宽度流量,压缩位置总_压_缩比阻
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,124.995,1.0,0.899,3.826,10.6,5.0,89.448,1.397,0.887,3.115,0.0,10.6,50.0,2.5,0.818,3.685,3.685,1382.51,278.82,3010.0,194.2,1.513,1.513,421.18,37.82,-875.0,-56.4,5.576,5.576,1803.69,316.64,3885.0,250.6,15.5,137.79999999999998
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,125.888,1.0,0.899,3.651,8.288,7.312,78.67,1.6,0.865,3.128,0.0,8.288,50.0,2.518,0.834,3.685,3.685,1382.51,278.82,2915.0,188.0,1.513,1.513,383.44,26.36,-757.0,-48.8,5.576,5.576,1765.95,305.17,3672.0,236.9,15.5,139.2
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,124.682,1.0,0.899,3.476,6.0,9.6,69.108,1.804,0.83,3.119,0.0,6.0,50.0,2.494,0.819,3.685,3.685,1382.51,278.82,2831.0,182.7,1.513,1.513,344.41,16.71,-589.0,-38.0,5.576,5.576,1726.92,295.53,3420.0,220.6,15.5,144.7
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,122.274,1.0,0.899,3.323,4.0,11.6,61.772,1.979,0.789,3.096,0.0,4.0,50.0,2.445,0.786,3.685,3.685,1382.51,278.82,2766.0,178.5,1.513,1.513,310.72,9.81,-409.0,-26.4,5.576,5.576,1693.24,288.62,3175.0,204.8,15.5,152.1
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,118.976,1.0,0.899,3.169,2.0,13.6,55.414,2.147,0.74,3.061,0.0,2.0,50.0,2.38,0.74,3.685,3.685,1382.51,278.82,2707.0,174.7,1.513,1.513,278.69,4.28,-210.0,-13.5,5.576,5.576,1661.2,283.1,2917.0,188.2,15.5,161.2
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.989,7.878,5.178,134.907,2.067,0.963,4.216,15.6,7.722,75.673,3.685,0.899,4.216,15.6,15.6,115.131,1.0,0.899,3.015,0.0,15.6,50.0,2.303,0.685,3.015,0.0,0.0,50.0,2.303,0.685,3.685,3.685,1382.51,278.82,2655.0,171.3,1.513,1.513,249.04,0.0,0.0,0.0,5.576,5.576,1631.55,278.82,2655.0,171.3,15.5,171.3
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,125.104,1.0,0.903,3.83,10.6,5.0,89.496,1.398,0.891,3.118,0.0,10.6,50.0,2.502,0.822,3.688,3.688,1382.51,278.82,3005.0,193.9,1.512,1.512,421.89,37.9,-876.0,-56.5,5.576,5.576,1804.4,316.72,3882.0,250.4,15.5,137.4
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,126.0,1.0,0.903,3.654,8.288,7.312,78.704,1.601,0.869,3.13,0.0,8.288,50.0,2.52,0.838,3.688,3.688,1382.51,278.82,2910.0,187.7,1.512,1.512,384.06,26.41,-759.0,-48.9,5.576,5.576,1766.57,305.23,3669.0,236.7,15.5,138.79999999999998
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,124.79,1.0,0.903,3.48,6.0,9.6,69.13,1.805,0.834,3.122,0.0,6.0,50.0,2.496,0.823,3.688,3.688,1382.51,278.82,2827.0,182.4,1.512,1.512,344.93,16.74,-590.0,-38.0,5.576,5.576,1727.44,295.56,3416.0,220.4,15.5,144.4
0.0,0.0,1.0,6.0,0.0,0.0,278.818,1.0,1.0,5.624,2.7,2.7,213.383,1.307,0.994,4.869,8.878,6.178,124.965,2.231,0.944,4.221,15.6,6.722,75.602,3.688,0.903,4.221,15.6,15.6,122.374,1.0,0.903,3.326,4.0,11.6,61.784,1.981,0.793,3.099,0.0,4.0,50.0,2.447,0.79,3.688,3.688,1382.51,278.82,2762.0,178.2,1.512,1.512,311.16,9.82,-410.0,-26.4,5.576,5.576,1693.67,288.64,3171.0,204.6,15.5,151.79999999999998
