alpha,Cl,Cd,Re,Cl/Cd
-6.23,-0.612,0.0259,100800,-23.62934363
-4.79,-0.50888389,0.02113595,100800,-24.07669823
-3.35,-0.332,0.0201,100800,-16.51741294
-2.595,-0.23002507,0.02014769,100800,-11.41694507
-1.84,-0.133,0.0201,100800,-6.616915423
-1.05,-0.03867511,0.01973027,100800,-1.960191624
-0.26,0.076,0.0196,100800,3.87755102
0.525,0.22728654,0.02020551,100800,11.24874057
1.31,0.362,0.021,100800,17.23809524
2.065,0.42901591,0.02131841,100800,20.12419829
2.82,0.469,0.0211,100800,22.22748815
3.58,0.52499615,0.02047499,100800,25.64085013
4.34,0.592,0.02,100800,29.6
5.105,0.6568163,0.02015774,100800,32.58382636
5.87,0.718,0.0207,100800,34.68599034
6.64,0.7783777,0.0212932,100800,36.5552242
7.41,0.841,0.022,100800,38.22727273
8.17,0.90655092,0.02303771,100800,39.35073929
8.93,0.969,0.0249,100800,38.91566265
9.69,1.01944908,0.02813729,100800,36.23124615
10.45,1.049,0.0333,100800,31.5015015
