alpha,CL,CD,CDp,Re,Cl/Cd
-5,-0.5399,0.02982,0.01996,60400,-18.10529846
-4.5,-0.4994,0.02819,0.01834,60400,-17.71550195
-4,-0.4583,0.02675,0.01686,60400,-17.13271028
-3.5,-0.4176,0.02563,0.01592,60400,-16.29340616
-3,-0.3777,0.0248,0.01546,60400,-15.22983871
-2.5,-0.339,0.02428,0.01542,60400,-13.96210873
-2,-0.2948,0.02411,0.01587,60400,-12.22729158
-1.5,-0.2239,0.02467,0.0173,60400,-9.075800567
-1,-0.0226,0.02664,0.01884,60400,-0.848348348
-0.5,0.0566,0.02685,0.01862,60400,2.108007449
0,0.1267,0.02734,0.01881,60400,4.634235552
0.5,0.1925,0.02791,0.01916,60400,6.897169473
1,0.2629,0.02842,0.0195,60400,9.250527797
1.5,0.3337,0.02885,0.01982,60400,11.56672444
2,0.3986,0.02923,0.02012,60400,13.63667465
2.5,0.4622,0.02948,0.02037,60400,15.67842605
3,0.5315,0.02938,0.02024,60400,18.09053778
3.5,0.6023,0.02898,0.01983,60400,20.78329883
4,0.651,0.02944,0.02031,60400,22.11277174
4.5,0.7011,0.02984,0.02079,60400,23.49530831
5,0.7531,0.03013,0.02111,60400,24.99502157
5.5,0.8073,0.03026,0.02126,60400,26.67878387
6,0.8651,0.03021,0.02125,60400,28.63621317
6.5,0.9032,0.03113,0.02227,60400,29.01381304
7,0.9487,0.0315,0.02268,60400,30.11746032
7.5,1.0091,0.031,0.02195,60400,32.5516129
8,1.0417,0.03191,0.02304,60400,32.64493889
8.5,1.0839,0.03231,0.02323,60400,33.54688951
9,1.1215,0.03319,0.02378,60400,33.79029828
9.5,1.1469,0.03502,0.0255,60400,32.74985722
10,1.1705,0.03783,0.02828,60400,30.94105208
10.5,1.196,0.04068,0.03109,60400,29.40019666
11,1.2225,0.0443,0.03473,60400,27.59593679
11.5,1.2332,0.04908,0.03989,60400,25.12632437
12,1.2421,0.05361,0.04458,60400,23.16918485
