alpha,Cl,Cd,Re,Cl/Cd
-4.91,-0.45,0.0292,60400,-15.4109589
-3.37,-0.349,0.0229,60400,-15.24017467
-1.85,-0.225,0.022,60400,-10.22727273
-0.31,-0.032,0.0248,60400,-1.290322581
1.25,0.228,0.0304,60400,7.5
2.8,0.423,0.0332,60400,12.74096386
4.32,0.572,0.0342,60400,16.7251462
5.85,0.7,0.0354,60400,19.7740113
7.4,0.821,0.0356,60400,23.06179775
8.93,0.937,0.0351,60400,26.6951567
11.23,1.055,0.043,60400,24.53488372
-6.23,-0.612,0.0259,100800,-23.62934363
-3.35,-0.332,0.0201,100800,-16.51741294
-1.84,-0.133,0.0201,100800,-6.616915423
-0.26,0.076,0.0196,100800,3.87755102
1.31,0.362,0.021,100800,17.23809524
2.82,0.469,0.0211,100800,22.22748815
4.34,0.592,0.02,100800,29.6
5.87,0.718,0.0207,100800,34.68599034
7.41,0.841,0.022,100800,38.22727273
8.93,0.969,0.0249,100800,38.91566265
10.45,1.049,0.0333,100800,31.5015015
-4.88,-0.382,0.0175,201600,-21.82857143
-3.28,-0.171,0.0147,201600,-11.63265306
-1.77,-0.02,0.0134,201600,-1.492537313
-0.28,0.112,0.0113,201600,9.911504425
1.28,0.271,0.0108,201600,25.09259259
2.8,0.494,0.0123,201600,40.16260163
4.33,0.628,0.0135,201600,46.51851852
5.88,0.762,0.0146,201600,52.19178082
7.42,0.887,0.0164,201600,54.08536585
8.94,0.996,0.0194,201600,51.34020619
10.45,1.069,0.0249,201600,42.93172691
-4.87,-0.316,0.013,302700,-24.30769231
-3.35,-0.169,0.0115,302700,-14.69565217
-1.8,-0.03,0.0109,302700,-2.752293578
-0.23,0.119,0.0097,302700,12.26804124
1.27,0.263,0.0092,302700,28.58695652
2.86,0.479,0.0112,302700,42.76785714
4.36,0.634,0.0114,302700,55.61403509
5.88,0.759,0.0128,302700,59.296875
7.41,0.878,0.0145,302700,60.55172414
8.93,0.983,0.0176,302700,55.85227273
10.45,1.062,0.0229,302700,46.37554585
