粘性,钝度,二维,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,来流马赫数,喉道高度,喉道马赫数,流量系数,总压恢复系数,比阻,内收缩比,总收缩比,捕获流量
0,0,1,2.647,7.635,15,10,3,150.374,1.745,1,0.964,117.2,1.597,3.007,17
0,0,1,2.647,7.635,15,7.845,3,150.374,1.748,1,0.967,116.8,1.597,3.007,17
0,0,1,2.647,7.635,15,6,3,150.374,1.746,1,0.965,116.9,1.597,3.007,17
0,0,1,2.647,7.635,15,4,3,150.374,1.741,1,0.956,117.5,1.597,3.007,17
0,0,1,2.647,7.635,15,2,3,150.374,1.731,1,0.942,118.7,1.597,3.007,17
0,0,1,2.647,7.635,15,0,3,150.374,1.717,1,0.923,120.1,1.597,3.007,17
0,0,1,2.647,8.635,15,10,3,150.374,1.745,1,0.965,117.1,1.597,3.007,17
0,0,1,2.647,8.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.597,3.007,17
0,0,1,2.647,8.635,15,6,3,150.374,1.747,1,0.966,116.9,1.597,3.007,17
0,0,1,2.647,8.635,15,4,3,150.374,1.741,1,0.957,117.5,1.597,3.007,17
0,0,1,2.647,8.635,15,2,3,150.374,1.732,1,0.943,118.6,1.597,3.007,17
0,0,1,2.647,8.635,15,0,3,150.374,1.718,1,0.924,120,1.597,3.007,17
0,0,1,2.647,9.635,15,10,3,150.374,1.745,1,0.963,117.2,1.598,3.007,17
0,0,1,2.647,9.635,15,7.845,3,150.374,1.748,1,0.967,116.8,1.598,3.007,17
0,0,1,2.647,9.635,15,6,3,150.374,1.746,1,0.964,116.9,1.598,3.007,17
0,0,1,2.647,9.635,15,4,3,150.374,1.741,1,0.956,117.6,1.598,3.007,17
0,0,1,2.647,9.635,15,2,3,150.374,1.731,1,0.942,118.7,1.598,3.007,17
0,0,1,2.647,9.635,15,0,3,150.374,1.717,1,0.923,120.1,1.598,3.007,17
0,0,1,3.647,7.635,15,10,3,150.374,1.745,1,0.965,117.1,1.597,3.007,17
0,0,1,3.647,7.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.597,3.007,17
0,0,1,3.647,7.635,15,6,3,150.374,1.747,1,0.966,116.9,1.597,3.007,17
0,0,1,3.647,7.635,15,4,3,150.374,1.741,1,0.957,117.5,1.597,3.007,17
0,0,1,3.647,7.635,15,2,3,150.374,1.731,1,0.943,118.6,1.597,3.007,17
0,0,1,3.647,7.635,15,0,3,150.374,1.718,1,0.924,120.1,1.597,3.007,17
0,0,1,3.647,8.635,15,10,3,150.374,1.746,1,0.967,117,1.595,3.007,17
0,0,1,3.647,8.635,15,7.845,3,150.374,1.749,1,0.971,116.6,1.595,3.007,17
0,0,1,3.647,8.635,15,6,3,150.374,1.748,1,0.968,116.7,1.595,3.007,17
0,0,1,3.647,8.635,15,4,3,150.374,1.742,1,0.959,117.3,1.595,3.007,17
0,0,1,3.647,8.635,15,2,3,150.374,1.733,1,0.945,118.5,1.595,3.007,17
0,0,1,3.647,8.635,15,0,3,150.374,1.719,1,0.926,119.9,1.595,3.007,17
0,0,1,3.647,9.635,15,10,3,150.374,1.746,1,0.967,117,1.595,3.007,17
0,0,1,3.647,9.635,15,7.845,3,150.374,1.749,1,0.97,116.6,1.595,3.007,17
0,0,1,3.647,9.635,15,6,3,150.374,1.748,1,0.968,116.7,1.595,3.007,17
0,0,1,3.647,9.635,15,4,3,150.374,1.742,1,0.959,117.3,1.595,3.007,17
0,0,1,3.647,9.635,15,2,3,150.374,1.733,1,0.945,118.5,1.595,3.007,17
0,0,1,3.647,9.635,15,0,3,150.374,1.719,1,0.926,119.9,1.595,3.007,17
0,0,1,3.647,10.635,15,10,3,150.374,1.745,1,0.964,117.1,1.597,3.007,17
0,0,1,3.647,10.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.597,3.007,17
0,0,1,3.647,10.635,15,6,3,150.374,1.747,1,0.966,116.8,1.597,3.007,17
0,0,1,3.647,10.635,15,4,3,150.374,1.741,1,0.957,117.5,1.597,3.007,17
0,0,1,3.647,10.635,15,2,3,150.374,1.732,1,0.943,118.6,1.597,3.007,17
0,0,1,3.647,10.635,15,0,3,150.374,1.718,1,0.924,120,1.597,3.007,17
0,0,1,4.647,7.635,15,10,3,150.374,1.745,1,0.964,117.2,1.597,3.007,17
0,0,1,4.647,7.635,15,7.845,3,150.374,1.748,1,0.968,116.8,1.597,3.007,17
0,0,1,4.647,7.635,15,6,3,150.374,1.746,1,0.965,116.9,1.597,3.007,17
0,0,1,4.647,7.635,15,4,3,150.374,1.741,1,0.956,117.5,1.597,3.007,17
0,0,1,4.647,7.635,15,2,3,150.374,1.731,1,0.942,118.7,1.597,3.007,17
0,0,1,4.647,7.635,15,0,3,150.374,1.717,1,0.924,120.1,1.597,3.007,17
0,0,1,4.647,8.635,15,10,3,150.374,1.746,1,0.967,117,1.595,3.007,17
0,0,1,4.647,8.635,15,7.845,3,150.374,1.749,1,0.971,116.6,1.595,3.007,17
0,0,1,4.647,8.635,15,6,3,150.374,1.748,1,0.968,116.7,1.595,3.007,17
0,0,1,4.647,8.635,15,4,3,150.374,1.742,1,0.959,117.3,1.595,3.007,17
0,0,1,4.647,8.635,15,2,3,150.374,1.733,1,0.945,118.5,1.595,3.007,17
0,0,1,4.647,8.635,15,0,3,150.374,1.719,1,0.926,119.9,1.595,3.007,17
0,0,1,4.647,9.635,15,10,3,150.374,1.747,1,0.968,116.9,1.595,3.007,17
0,0,1,4.647,9.635,15,7.845,3,150.374,1.75,1,0.972,116.5,1.595,3.007,17
0,0,1,4.647,9.635,15,6,3,150.374,1.749,1,0.969,116.7,1.595,3.007,17
0,0,1,4.647,9.635,15,4,3,150.374,1.743,1,0.96,117.3,1.595,3.007,17
0,0,1,4.647,9.635,15,2,3,150.374,1.733,1,0.946,118.4,1.595,3.007,17
0,0,1,4.647,9.635,15,0,3,150.374,1.72,1,0.927,119.8,1.595,3.007,17
0,0,1,4.647,10.635,15,10,3,150.374,1.747,1,0.967,117,1.595,3.007,17
0,0,1,4.647,10.635,15,7.845,3,150.374,1.75,1,0.971,116.6,1.595,3.007,17
0,0,1,4.647,10.635,15,6,3,150.374,1.748,1,0.968,116.7,1.595,3.007,17
0,0,1,4.647,10.635,15,4,3,150.374,1.743,1,0.959,117.3,1.595,3.007,17
0,0,1,4.647,10.635,15,2,3,150.374,1.733,1,0.945,118.5,1.595,3.007,17
0,0,1,4.647,10.635,15,0,3,150.374,1.719,1,0.926,119.9,1.595,3.007,17
0,0,1,4.647,11.635,15,10,3,150.374,1.745,1,0.964,117.1,1.598,3.007,17
0,0,1,4.647,11.635,15,7.845,3,150.374,1.748,1,0.968,116.7,1.598,3.007,17
0,0,1,4.647,11.635,15,6,3,150.374,1.747,1,0.965,116.9,1.598,3.007,17
0,0,1,4.647,11.635,15,4,3,150.374,1.741,1,0.957,117.5,1.598,3.007,17
0,0,1,4.647,11.635,15,2,3,150.374,1.731,1,0.943,118.6,1.598,3.007,17
0,0,1,4.647,11.635,15,0,3,150.374,1.718,1,0.924,120,1.598,3.007,17
0,0,1,5.647,8.635,15,10,3,150.374,1.746,1,0.965,117.1,1.597,3.007,17
0,0,1,5.647,8.635,15,7.845,3,150.374,1.749,1,0.969,116.7,1.597,3.007,17
0,0,1,5.647,8.635,15,6,3,150.374,1.747,1,0.966,116.8,1.597,3.007,17
0,0,1,5.647,8.635,15,4,3,150.374,1.742,1,0.957,117.4,1.597,3.007,17
0,0,1,5.647,8.635,15,2,3,150.374,1.732,1,0.943,118.6,1.597,3.007,17
0,0,1,5.647,8.635,15,0,3,150.374,1.718,1,0.925,120,1.597,3.007,17
