粘性,钝度,二维,来流马赫数,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,第5壁面切向角,喉道高度,捕获流量,喉道马赫数,总压恢复系数,内收缩比,总收缩比,比阻,外形马赫数,流量系数
1,0,1,3,4.076,6.621,13.7,7.305,0,316.433,15.1201,1.4891,0.81609825,"1.65	",6.329,393.2736138,7,0.422814344
1,0,1,3,4.076,7.621,13.7,7.305,0,316.433,15.0169,1.5025,0.815829078,1.635,6.329,394.0796093,7,0.419929552
1,0,1,3,4.076,8.621,13.7,0,0,316.433,11.8187,1.3098,0.583222089,1.631,6.329,552.1115742,7,0.330495181
1,0,1,3,4.076,8.621,13.7,3.305,0,316.433,14.954,1.4906,0.808269816,1.631,6.329,371.1378067,7,0.418168285
1,0,1,3,4.076,8.621,13.7,5.305,0,316.433,14.9685,1.5402,0.823708339,"	1.631","	6.329",379.7825225,7,0.418575717
1,0,1,3,4.076,8.621,13.7,7.305,0,316.433,14.9908,1.496,0.816148392,1.631,6.329,394.4164122,7,0.419199615
1,0,1,3,4.076,8.621,13.7,9.305,0,316.433,14.969,1.4683,0.800359627,1.631,6.329,410.6269665,7,0.418587797
1,0,1,3,4.076,9.621,13.7,7.305,0,316.433,15.0392,1.4929,0.817375475,"	1.637","	6.329",393.7657068,7,0.420552331
1,0,1,3,4.076,10.621,13.7,7.305,0,316.433,15.1525,1.4811,0.817529738,1.652,6.329,393.2829867,7,0.423721151
,,,3,4.076,6.621,13.7,0,0,,,,,,,,,
,,,3,4.076,6.621,13.7,3.305,0,,,,,,,,,
,,,3,4.076,6.621,13.7,5.305,0,,,,,,,,,
,,,3,4.076,6.621,13.7,9.305,0,,,,,,,,,
,,,3,4.076,7.621,13.7,0,0,,,,,,,,,
,,,3,4.076,7.621,13.7,3.305,0,,,,,,,,,
,,,3,4.076,7.621,13.7,5.305,0,,,,,,,,,
,,,3,4.076,7.621,13.7,9.305,0,,,,,,,,,
,,,3,4.076,9.621,13.7,0,0,,,,,,,,,
,,,3,4.076,9.621,13.7,3.305,0,,,,,,,,,
,,,3,4.076,9.621,13.7,5.305,0,,,,,,,,,
,,,3,4.076,9.621,13.7,9.305,0,,,,,,,,,
,,,3,4.076,10.621,13.7,0,0,,,,,,,,,
,,,3,4.076,10.621,13.7,3.305,0,,,,,,,,,
,,,3,4.076,10.621,13.7,5.305,0,,,,,,,,,
,,,3,4.076,10.621,13.7,9.305,0,,,,,,,,,
