粘性,钝度,二维,来流马赫数,第1壁面切向角,第2壁面切向角,第3壁面切向角,第4壁面切向角,第5壁面切向角,喉道高度,捕获流量,喉道马赫数,总压恢复系数,内收缩比,总收缩比,比阻,外形马赫数,流量系数
1,0,1,3,2.076,6.621,13.7,7.305,0,316.433,15.0425,1.4665,0.810905541,1.652,6.329,395.0872525,7,0.420644052
1,0,1,3,2.076,8.621,13.7,7.305,0,316.433,15.3498,1.5182,0.830954553,1.659,6.329,391.32019,7,0.429237495
1,0,1,3,3.076,7.621,13.7,7.305,0,316.433,14.9597,1.4877,0.812963808,1.635,6.329,394.0029681,7,0.418329161
1,0,1,3,3.076,8.621,13.7,7.305,0,316.433,14.9864,1.4901,0.813481911,1.637,6.329,394.3815039,7,0.41907417
1,0,1,3,4.076,6.621,13.7,7.305,0,316.433,15.1201,1.4891,0.81609825,"1.65	",6.329,393.2736138,7,0.422814344
1,0,1,3,4.076,7.621,13.7,7.305,0,316.433,15.0169,1.5025,0.815829078,1.635,6.329,394.0796093,7,0.419929552
1,0,1,3,4.076,8.621,13.7,9.305,0,316.433,14.969,1.4683,0.800359627,1.631,6.329,410.6269665,7,0.418587797
1,0,1,3,4.076,8.621,13.7,7.305,0,316.433,14.9908,1.496,0.816148392,1.631,6.329,394.4164122,7,0.419199615
1,0,1,3,4.076,8.621,13.7,5.305,0,316.433,14.9685,1.5402,0.823708339,"	1.631","	6.329",379.7825225,7,0.418575717
1,0,1,3,4.076,8.621,13.7,3.305,0,316.433,14.954,1.4906,0.808269816,1.631,6.329,371.1378067,7,0.418168285
1,0,1,3,4.076,8.621,13.7,0,0,316.433,11.8187,1.3098,0.583222089,1.631,6.329,552.1115742,7,0.330495181
1,0,1,3,4.076,9.621,13.7,7.305,0,316.433,15.0392,1.4929,0.817375475,"	1.637","	6.329",393.7657068,7,0.420552331
1,0,1,3,4.076,10.621,13.7,7.305,0,316.433,15.1525,1.4811,0.817529738,1.652,6.329,393.2829867,7,0.423721151
1,0,1,3,5.076,8.621,13.7,7.305,0,316.433,15.1094,1.5117,0.822436731,1.639,6.329,393.0676248,7,0.422515943
1,0,1,3,5.076,9.621,13.7,7.305,0,316.433,15.1114,1.4956,0.820045005,1.639,6.329,393.447783,7,0.422570472
1,0,1,3,6.076,8.621,13.7,7.305,0,316.433,15.3611,1.4934,0.828676332,"1.66	",6.329,390.9054737,7,0.429553541
1,0,1,3,6.076,10.621,13.7,7.305,0,316.433,15.3498,1.5182,0.830954553,1.659,6.329,391.32019,7,0.429237495
1,0,1,4,2.076,6.621,13.7,7.305,0,316.433,14.3288,2.2412,0.77030205,1.652,6.329,281.0813955,7,0.53631419
1,0,1,4,2.076,8.621,13.7,7.305,0,316.433,14.4062,2.2372,0.770734444,1.659,6.329,281.5200747,7,0.539211203
1,0,1,4,3.076,7.621,13.7,7.305,0,316.433,14.2841,2.2608,0.778418873,1.635,6.329,280.3168208,7,0.534641109
1,0,1,4,3.076,8.621,13.7,7.305,0,316.433,14.3111,2.2577,0.779557184,1.637,6.329,280.4170469,7,0.535651695
1,0,1,4,4.076,6.621,13.7,7.305,0,316.433,14.4458,2.2541,0.780420957,"1.65	",6.329,279.0103421,7,0.540693396
1,0,1,4,4.076,7.621,13.7,7.305,0,316.433,14.3409,2.2646,0.783119096,1.635,6.329,279.4450069,7,0.536767083
1,0,1,4,4.076,8.621,13.7,9.305,0,316.433,14.3176,2.2486,0.776285708,1.631,6.329,294.2607979,7,0.535894984
1,0,1,4,4.076,8.621,13.7,7.305,0,316.433,14.3065,2.2695,0.782760846,1.631,6.329,279.8999546,7,0.535479521
1,0,1,4,4.076,8.621,13.7,5.305,0,316.433,14.3114,2.2607,0.783716073,"	1.631","	6.329",268.159628,7,0.535662924
1,0,1,4,4.076,8.621,13.7,3.305,0,316.433,14.3192,2.2178,0.755341816,1.631,6.329,259.3307028,7,0.535954871
1,0,1,4,4.076,8.621,13.7,0,0,316.433,14.182564,2.209064,0.730472947,1.631,6.329,250.2033765,7,0.530840708
1,0,1,4,4.076,9.621,13.7,7.305,0,316.433,14.359,2.2657,0.782377954,"	1.637","	6.329",279.8445644,7,0.537444549
1,0,1,4,4.076,10.621,13.7,7.305,0,316.433,14.4844,2.25485,0.78082768,1.652,6.329,279.4431043,7,0.54213816
1,0,1,4,5.076,8.621,13.7,7.305,0,316.433,14.420219,2.2690778,0.787135203,1.639,6.329,279.2381517,7,0.539735922
1,0,1,4,5.076,9.621,13.7,7.305,0,316.433,14.433401,2.2694125,0.786114385,1.639,6.329,279.2363421,7,0.540229312
1,0,1,4,6.076,8.621,13.7,7.305,0,316.433,14.606302,2.2576373,0.784792546,"1.66	",6.329,278.9291773,7,0.546700843
1,0,1,4,6.076,10.621,13.7,7.305,0,316.433,14.598581,2.2633302,0.78732712,1.659,6.329,279.2174938,7,0.546411852
1,0,1,5,2.076,6.621,13.7,7.305,0,316.433,13.819,2.273,0.730728048,1.652,6.329,231.5917215,7,0.649990556
1,0,1,5,2.076,8.621,13.7,7.305,0,316.433,13.8787,2.8236,0.729928973,1.659,6.329,232.1266401,7,0.652798605
1,0,1,5,3.076,7.621,13.7,7.305,0,316.433,13.7614,2.8463,0.738609467,1.635,6.329,231.0438109,7,0.647281282
1,0,1,5,3.076,8.621,13.7,7.305,0,316.433,13.7803,2.8547,0.740926978,1.637,6.329,231.3294776,7,0.648170262
1,0,1,5,4.076,6.621,13.7,7.305,0,316.433,13.8723,2.8506,0.737916176,"1.65	",6.329,230.8828168,7,0.652497575
1,0,1,5,4.076,7.621,13.7,7.305,0,316.433,13.7922,2.8622,0.743566713,1.635,6.329,230.8112411,7,0.648729991
1,0,1,5,4.076,8.621,13.7,9.305,0,316.433,13.7739,2.8291,0.737484876,1.631,6.329,242.998047,7,0.647869232
1,0,1,5,4.076,8.621,13.7,7.305,0,316.433,13.7831,2.854,0.742140633,1.631,6.329,230.7455652,7,0.648301963
1,0,1,5,4.076,8.621,13.7,5.305,0,316.433,13.7706,2.8588,0.741835195,"	1.631","	6.329",221.1365082,7,0.647714013
1,0,1,5,4.076,8.621,13.7,3.305,0,316.433,13.7759,2.8008,0.705981121,1.631,6.329,213.299886,7,0.647963304
1,0,1,5,4.076,8.621,13.7,0,0,316.433,13.7811,2.672,0.635807047,1.631,6.329,206.4605801,7,0.648207891
1,0,1,5,4.076,9.621,13.7,7.305,0,316.433,13.8177,2.85,0.740850223,"	1.637","	6.329",230.9711095,7,0.649929409
1,0,1,5,4.076,10.621,13.7,7.305,0,316.433,13.9035,2.8391,0.735524873,1.652,6.329,231.1924911,7,0.653965098
1,0,1,5,5.076,8.621,13.7,7.305,0,316.433,13.8459,2.8649,0.744857912,1.639,6.329,230.9252486,7,0.651255824
1,0,1,5,5.076,9.621,13.7,7.305,0,316.433,13.8927,2.8533,0.742167293,1.639,6.329,230.3359318,7,0.653457109
1,0,1,5,6.076,8.621,13.7,7.305,0,316.433,14.0128,2.8422,0.737079315,"1.66	",6.329,230.9458495,7,0.659106133
1,0,1,5,6.076,10.621,13.7,7.305,0,316.433,13.9946,2.855,0.740808489,1.659,6.329,231.3963314,7,0.658250078
1,0,1,6,2.076,6.621,13.7,7.305,0,316.433,13.687566,3.3459473,0.694420838,1.652,6.329,199.8128374,7,0.778374698
1,0,1,6,2.076,8.621,13.7,7.305,0,316.433,13.726455,3.3413978,0.693022631,1.659,6.329,200.3669848,7,0.780588599
1,0,1,6,3.076,7.621,13.7,7.305,0,316.433,13.648032,3.3673518,0.703957693,1.635,6.329,199.13049,7,0.776125124
1,0,1,6,3.076,8.621,13.7,7.305,0,316.433,13.652532,3.3663313,0.009777943,1.637,6.329,199.4708894,7,0.776381718
1,0,1,6,4.076,6.621,13.7,7.305,0,316.433,13.718116,3.3506386,0.696151793,"1.65	",6.329,199.5015132,7,0.780107737
1,0,1,6,4.076,7.621,13.7,7.305,0,316.433,13.65783,3.3692982,0.705092848,1.635,6.329,199.1775267,7,0.776679411
1,0,1,6,4.076,8.621,13.7,9.305,0,316.433,13.647851,3.3455114,0.697032922,1.631,6.329,210.0534949,7,0.776112152
1,0,1,6,4.076,8.621,13.7,7.305,0,316.433,13.648711,3.3747132,0.706557541,1.631,6.329,199.0645417,7,0.776161058
1,0,1,6,4.076,8.621,13.7,5.305,0,316.433,13.643584,3.3458033,0.698351041,"	1.631","	6.329",190.6106416,7,0.775869501
1,0,1,6,4.076,8.621,13.7,3.305,0,316.433,13.656987,3.2885864,0.655238914,1.631,6.329,183.800131,7,0.776631732
1,0,1,6,4.076,8.621,13.7,0,0,316.433,13.655822,3.1557949,0.568822512,1.631,6.329,178.0945373,7,0.776565482
1,0,1,6,4.076,9.621,13.7,7.305,0,316.433,13.677416,3.3684621,0.703571236,"	1.637","	6.329",199.3048687,7,0.777793857
1,0,1,6,4.076,10.621,13.7,7.305,0,316.433,13.735425,3.3512731,0.695449368,1.652,6.329,199.886578,7,0.781092743
1,0,1,6,5.076,8.621,13.7,7.305,0,316.433,13.685519,3.3672481,0.703605972,1.639,6.329,199.5689093,7,0.778252311
1,0,1,6,5.076,9.621,13.7,7.305,0,316.433,13.694665,3.3677211,0.702323448,1.639,6.329,199.5531837,7,0.778772502
1,0,1,6,6.076,8.621,13.7,7.305,0,316.433,13.786124,3.3469284,0.691163854,"1.66	",6.329,200.3820436,7,0.783972658
1,0,1,6,6.076,10.621,13.7,7.305,0,316.433,13.775755,3.3500137,0.695610657,1.659,6.329,200.5537119,7,0.78338305
1,0,1,6.5,2.076,6.621,13.7,7.305,0,316.433,13.759708,3.5507722,0.675569189,1.652,6.329,187.9845343,7,0.849037241
1,0,1,6.5,2.076,8.621,13.7,7.305,0,316.433,13.780618,3.5454266,0.672815482,1.659,6.329,188.6070929,7,0.850327484
1,0,1,6.5,3.076,7.621,13.7,7.305,0,316.433,13.723173,3.5718772,0.685005267,1.635,6.329,187.2830649,7,0.846782863
1,0,1,6.5,3.076,8.621,13.7,7.305,0,316.433,13.722808,3.5744009,0.686198923,1.637,6.329,187.6053283,7,0.846760341
1,0,1,6.5,4.076,6.621,13.7,7.305,0,316.433,13.77346,3.5590944,0.674503452,"1.65	",6.329,187.9443872,7,0.849885802
1,0,1,6.5,4.076,7.621,13.7,7.305,0,316.433,13.725683,3.5766816,0.685205459,1.635,6.329,187.4087432,7,0.846937742
1,0,1,6.5,4.076,8.621,13.7,9.305,0,316.433,13.720579,3.5591602,0.673025237,1.631,6.329,197.7349717,7,0.846622802
1,0,1,6.5,4.076,8.621,13.7,7.305,0,316.433,13.720579,3.5591602,0.673025237,1.631,6.329,197.7349717,7,0.846622802
1,0,1,6.5,4.076,8.621,13.7,5.305,0,316.433,13.716811,3.560138,0.674227176,"	1.631","	6.329",179.1669653,7,0.846390299
1,0,1,6.5,4.076,8.621,13.7,3.305,0,316.433,13.72408,3.5051546,0.628472693,1.631,6.329,172.8930391,7,0.846838829
1,0,1,6.5,4.076,8.621,13.7,0,0,316.433,13.737337,3.3567851,0.537534903,1.631,6.329,167.5650091,7,0.847656847
1,0,1,6.5,4.076,9.621,13.7,7.305,0,316.433,13.733823,3.5721819,0.683766977,"	1.637","	6.329",187.6207521,7,0.847440017
1,0,1,6.5,4.076,10.621,13.7,7.305,0,316.433,13.784534,3.5554831,0.675325515,1.652,6.329,188.2266169,7,0.850569119
1,0,1,6.5,5.076,8.621,13.7,7.305,0,316.433,13.737552,3.5760906,0.683060137,1.639,6.329,187.9043442,7,0.847670114
1,0,1,6.5,5.076,9.621,13.7,7.305,0,316.433,13.742146,3.5709932,0.68148831,1.639,6.329,187.9252192,7,0.847953585
1,0,1,6.5,6.076,8.621,13.7,7.305,0,316.433,13.804257,3.5500541,0.668634685,"1.66	",6.329,189.0244147,7,0.851786119
1,0,1,6.5,6.076,10.621,13.7,7.305,0,316.433,13.794649,3.5586731,0.67099942,1.659,6.329,189.1359831,7,0.851193261
1,0,1,7,2.076,6.621,13.7,7.305,0,316.433,13.92009,3.7749305,0.66106585,1.652,6.329,177.2105712,7,0.928393415
1,0,1,7,2.076,8.621,13.7,7.305,0,316.433,13.927905,3.7622969,0.655997105,1.659,6.329,177.7805995,7,0.928914632
1,0,1,7,3.076,7.621,13.7,7.305,0,316.433,13.88906,3.7964756,0.672520799,1.635,6.329,176.427656,7,0.926323885
1,0,1,7,3.076,8.621,13.7,7.305,0,316.433,13.887069,3.7947166,0.671365006,1.637,6.329,176.6922379,7,0.926191096
1,0,1,7,4.076,6.621,13.7,7.305,0,316.433,13.916195,3.7790332,0.658316219,"1.65	",6.329,177.3505042,7,0.92813364
1,0,1,7,4.076,7.621,13.7,7.305,0,316.433,13.884431,3.7966654,0.669881107,1.635,6.329,176.6678879,7,0.926015156
1,0,1,7,4.076,8.621,13.7,9.305,0,316.433,13.872145,3.7639461,0.654708585,1.631,6.329,186.3685176,7,0.925195747
1,0,1,7,4.076,8.621,13.7,7.305,0,316.433,13.87737,3.7949252,0.671791968,1.631,6.329,176.4293378,7,0.925544226
1,0,1,7,4.076,8.621,13.7,5.305,0,316.433,13.874763,3.7779353,0.655022699,"	1.631","	6.329",168.8039644,7,0.925370353
1,0,1,7,4.076,8.621,13.7,3.305,0,316.433,13.893557,3.7163208,0.602750785,1.631,6.329,162.9695765,7,0.92662381
1,0,1,7,4.076,8.621,13.7,0,0,316.433,13.897481,3.5586314,0.513538565,1.631,6.329,159.0682657,7,0.926885519
1,0,1,7,4.076,9.621,13.7,7.305,0,316.433,13.878482,3.7880402,0.668007626,"	1.637","	6.329",176.9346244,7,0.92561839
1,0,1,7,4.076,10.621,13.7,7.305,0,316.433,13.909166,3.7721691,0.657169349,1.652,6.329,177.6648866,7,0.927664844
1,0,1,7,5.076,8.621,13.7,7.305,0,316.433,13.858832,3.7947979,0.665904066,1.639,6.329,177.3412002,7,0.924307843
1,0,1,7,5.076,9.621,13.7,7.305,0,316.433,13.861055,3.7868664,0.66400019,1.639,6.329,177.3526763,7,0.924456105
1,0,1,7,6.076,8.621,13.7,7.305,0,316.433,13.879598,3.7640779,0.646692045,"1.66	",6.329,178.8665781,7,0.925692821
1,0,1,7,6.076,10.621,13.7,7.305,0,316.433,13.865065,3.7740467,0.649649959,1.659,6.329,179.0185477,7,0.92472355
